Comment,Designator,Footprint,LCSC Part #,Quantity,Note
"Seeed XIAO ESP32C6","U1","XIAO-ESP32C6_21x17.5mm","Seeed-102010510",1,"Seeed官方/淘宝购买；内置USB-C充电+LDO+BLE"
"MPU-6050 IMU","U2","QFN-24_4x4mm_P0.5mm","C24112",1,""
"LM339 Quad Comparator","U7","SOP-14_3.9x8.7mm_P1.27mm","C7701",1,"3个比较器单元共用一颗"
"JST PH2.0 2P SMD","J2,J3,J4,J5","JST_PH_2P_Vertical","C131337",4,""
"SS12D00G Slide Switch","SW1","SS-12D00-G","C431540",1,""
"3224W 10k Trimmer","RV1,RV2","Potentiometer_3224W","C128917",2,"需核实"
"47k Resistor 0402","R1","R_0402","C25819",1,""
"10k Resistor 0402","R2,R3,R_rf1,R_rf2,R_sda,R_scl","R_0402","C25905",6,""
"4.7k Resistor 0402","R_sda,R_scl","R_0402","C23162",2,""
"100nF Cap 0402","C8,C10,C14,C_vlog","C_0402","C14663",4,""
"4.7uF Cap 0805","C15","C_0805","C17658",1,""
"10uF Cap 0805","C11","C_0805","C17024",1,""
"22uF Cap 0805","C9","C_0805","C45783",1,""
